Risk ID,Risk Title,Risk Category,Affected Asset/Process,Risk Description,Likelihood,Impact,Priority,Recommended Treatment,Owner,Status,Target Phase
R-01,Weak object-level access control in selected API workflows,Access Control,Booking records and user-linked data,Some application workflows may rely too heavily on client-supplied identifiers creating a risk that a user could access or modify records outside their authorised scope,Medium,High,High,Enforce ownership checks server-side for all read and write operations review endpoints for BOLA/IDOR patterns and add negative test cases,Engineering Lead,Open,Phase 1
R-02,Inconsistent role and permission enforcement,Access Control,Administrative and privileged functions,If role checks are applied inconsistently a normal authenticated user may gain access to coach-only or admin-level actions,Medium,High,High,Review the role model centralise authorisation checks and separate admin functions from normal user workflows,Engineering Lead,Open,Phase 1
R-03,Overexposure of sensitive data through API responses or logs,Data Protection,Personal data booking records and operational logs,API responses logs or error messages may reveal more information than needed increasing confidentiality risk and supporting attacker reconnaissance,Medium,Medium,Medium,Minimise response payloads sanitise errors remove sensitive values from logs and define secure logging guidelines,Engineering Lead,Open,Phase 2
R-04,Insufficient logging for security-relevant events,Logging and Monitoring,Authentication admin actions and payout workflows,If important actions are not logged consistently malicious or suspicious behaviour may be difficult to investigate or prove later,Medium,Medium,Medium,Define minimum audit events log authentication failures role changes payout actions and admin operations and restrict access to log data,Platform / Ops Owner,Open,Phase 1
R-05,Weak secret management practices,Secrets Management,API keys service credentials and cloud configuration,Poor handling of environment variables service credentials or secret rotation could expose the platform to unauthorised access or misuse of integrations,Medium,High,High,Remove hard-coded secrets validate repository hygiene and implement secure secret storage and rotation practices,Platform / Ops Owner,Open,Phase 1
R-06,Payment integration trust boundary not fully hardened,Third-Party Integration,Payment workflow and payout logic,Weak validation of third-party payment events or misconfiguration of integration logic could lead to incorrect payment state changes or fraud scenarios,Low,High,Medium,Verify webhook authenticity restrict event handling paths log payment state changes and review payout approval logic,Engineering Lead,Open,Phase 2
R-07,Limited separation between standard and administrative functions,Access Control,Admin tools support workflows and platform configuration,Admin workflows may share components or routes with standard user functions increasing the blast radius of authorisation failures,Medium,High,High,Isolate administrative interfaces enforce stronger role checks and monitor access to admin features,Engineering Lead,Open,Phase 1
R-08,Incomplete session and token lifecycle controls,Authentication,User authentication and session management,Weak token validation inadequate session invalidation or insufficient account recovery protections could increase the likelihood of account takeover,Medium,Medium,Medium,Validate token expiry and audience improve session invalidation review password reset and recovery controls and consider a future MFA roadmap,Engineering Lead,Open,Phase 2
R-09,Cloud storage or data access permissions broader than necessary,Cloud Security,Managed storage and database access,Overly broad storage or database permissions may allow unnecessary access to user data or increase the impact of a compromised component,Medium,High,High,Review storage and database access policies minimise service permissions and verify tenant and data segregation assumptions,Platform / Ops Owner,Open,Phase 1
R-10,Gaps in formal governance and operational security practices,Governance,Access reviews key rotation and incident readiness,Even where technical controls exist the absence of lightweight governance practices may reduce consistency and delay response when issues occur,Medium,Medium,Medium,Introduce lightweight control ownership periodic access review a key rotation schedule and basic incident response guidance,Founder / Operations Lead,Open,Phase 3
